alias,normalized_name,company_key,relationship_type,management_type,role,designation
Abdullah Ahmed Abdulrahman Al Mana,Abdullah Ahmed Abdulrahman Al Mana,9593-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Ahmed Abuthyab,Abdullah Ahmed Abuthyab,2001-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Ahmed bin Saleh Al-Samaani,Abdullah Ahmed bin Saleh Al-Samaani,9513-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Ahmed Khalil Abu Al-Nasr,Abdullah Ahmed Khalil Abu Al-Nasr,9632-en,board_member,board_of_directors,Independent,Chairman
Abdullah Ahmed Mohammed Balsharaf,Abdullah Ahmed Mohammed Balsharaf,4291-en,board_member,senior_executive,CFO,Senior Executives
Abdullah Ahmed Salem Balamesh,Abdullah Ahmed Salem Balamesh,4051-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Ahmed Sultan Al-Shehri,Abdullah Ahmed Sultan Al Shehri,2283-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Ahmed Sultan Al Shehri,Abdullah Ahmed Sultan Al Shehri,1835-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Ali  Abdullah Alameel,Abdullah Ali  Abdullah Alameel,9637-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Ali Al Khalifa,Abdullah Ali Al Khalifa,1150-en,board_member,senior_executive,CEO,Senior Executives
Abdullah Ali Aldubaikhi,Abdullah Ali Aldubaikhi,9538-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Ali Alhabdan,Ali Abdullah Alhabdan,9571-en,board_member,board_of_directors,Executive,Board of Directors
Abdullah ali alkhalifa,Abdullah Ali Al Khalifa,1150-en,board_member,board_of_directors,Executive,Board of Directors
Abdullah Ali Allazzam,Abdullah Ali Allazzam,8200-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Ali Mohammed AlSanea,Abdullah Ali Mohammed AlSanea,1323-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Amer Abdullah Al Nahdi,Abdullah Amer Abdullah Al Nahdi,4164-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdullah Anwar Muhammad Yusuf Andjani,Abdullah Anwar Muhammad Yusuf Andjani,9570-en,board_member,board_of_directors,Executive,Board of Directors
Abdullah Ateeq Alfawwaz,Abdullah Ateeq Alfawwaz,3092-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Awad Alturaifi,Abdullah Awad Alturaifi,9538-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdullah Badr Abdulmohsen Al-Mutlaq,Abdullah Badr Abdulmohsen Al-Mutlaq,2283-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah bin Abdul Salam bin Ubaid Al Qubaisi,Abdullah bin Abdul Salam bin Ubaid Al Qubaisi,4163-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah bin Abdulrahman AlShilash,Abdullah bin Abdulrahman AlShilash,9596-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Bin Ghazi Al Ghamdi,Abdullah Bin Ghazi Al Ghamdi,9557-en,board_member,board_of_directors,Non - Executive,Chairman
ABDULLAH BIN IBRAHIM  AL-MOAMMAR,ABDULLAH BIN IBRAHIM  AL-MOAMMAR,7200-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah bin Nasser bin Abdullah Al Dawood,Abdullah bin Nasser bin Abdullah Al Dawood,4072-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah bin Odeh bin Sulaiman AlGhabin,Abdullah bin Odeh bin Sulaiman AlGhabin,2110-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Bin Saad Aljabr,Abdullah Bin Saad Aljabr,9639-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah bin Saghir Muhammad Al-Husseini,Abdullah bin Saghir Muhammad Al-Husseini,4290-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Bin Saleh Bin Ali Alnasser,Abdullah Bin Saleh Bin Ali Alnasser,9581-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdullah bin Saleh bin Ibrahim Al-Muhaimid,Abdullah bin Saleh bin Ibrahim Al-Muhaimid,9598-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah bin Saud Abdulaziz Al-Rashoud,Abdullah bin Saud Abdulaziz Al-Rashoud,4191-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Eid Alharbi,Abdullah Eid Alharbi,9620-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Emad Hamad AlAskar,Abdullah Emad Hamad AlAskar,9641-en,board_member,senior_executive,CEO,Senior Executives
Abdullah Emad Hamad AlAskar,Abdullah Emad Hamad AlAskar,9641-en,board_member,board_of_directors,Deputy Chairman - Executive,Board of Directors
Abdullah Fahad Abdulaziz AlFaris,Abdullah Fahad Abdulaziz AlFaris,4264-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah fahad alfaris,Abdullah fahad alfaris,7030-en,board_member,board_of_directors,Independent,Chairman
Abdullah Fahd Abdulaziz Al-Faris,Abdullah Fahd Abdulaziz Al-Faris,9575-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Faisal Abdulaziz AlBraikan,Abdullah Faisal Abdulaziz AlBraikan,4322-en,board_member,board_of_directors,Executive,Board of Directors
Abdullah Hamdan Bin Sourayia Alsourayia,Abdullah Hamdan Bin Sourayia Alsourayia,3005-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Hamed Alkhorayef,Abdullah Hamed Alkhorayef,9533-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Ibrahem Mohammed Alyahya,Abdullah Ibrahem Mohammed Alyahya,9594-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Ibrahim Abdullah Bin Salamah,Abdullah Ibrahim Abdullah Bin Salamah,7205-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Ibrahim Al Howaish,Abdullah Ibrahim Al Howaish,4080-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Ibrahim Alhowaish,Abdullah Ibrahim Al Howaish,1182-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Ibrahim Alkhorayef,Abdullah Ibrahim Alkhorayef,9586-en,board_member,board_of_directors,'-,Chairman
Abdullah Ibrahim Mohamed alomier,Abdullah Ibrahim Mohamed alomier,1833-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Jaber Ali Al Faifi,Abdullah Jaber Ali Al Faifi,3002-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah khalid alshuaibi,Abdullah khalid alshuaibi,9630-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah khalifa shaheen albuainain,Abdullah khalifa shaheen albuainain,1210-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Mahmoud Mohd Khair Jaradat,Abdullah Mahmoud Mohd Khair Jaradat,9625-en,board_member,senior_executive,CFO,Senior Executives
ABDULLAH MANSOUR I ABABTAIN,ABDULLAH MANSOUR I ABABTAIN,9549-en,board_member,board_of_directors,Executive,Board of Directors
ABDULLAH MANSOUR I ABABTAIN,ABDULLAH MANSOUR I ABABTAIN,9549-en,board_member,senior_executive,CEO,Senior Executives
Abdullah Mansour Sulaiman Al Shagair,Abdullah Mansour Sulaiman Al Shagair,3002-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Mardi Ahmed Alzahrani,Abdullah Mardi Ahmed Alzahrani,9606-en,board_member,board_of_directors,Executive,Board of Directors
Abdullah Mohamad Alajmi,Abdullah Mohamad Alajmi,9552-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah mohamed Al-Barjes Al-Nasser,Abdullah mohamed Al-Barjes Al-Nasser,9517-en,board_member,board_of_directors,Deputy Chairman - Executive,Board of Directors
Abdullah Mohamed Saeed Al Saqr Al Qahtani,Abdullah Mohamed Saeed Al Saqr Al Qahtani,9615-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Mohammad Abdullah AlRashed,Abdullah Mohammad Abdullah AlRashed,1324-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Mohammed Abdullah Al-Khuwaiter,Abdullah Mohammed Abdullah Al-Khuwaiter,9522-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Mohammed Abdullah Al-Qahtani,Abdullah Mohammed Abdullah Al-Qahtani,9634-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Mohammed Abdullah AlAbdullatif,Abdullah Mohammed Abdullah AlAbdullatif,9624-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Mohammed Al-Budair,Abdullah Mohammed Al-Budair,4323-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Mohammed Al-Garni,Abdullah Mohammed Al-Garni,2350-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Mohammed Al-Shehri,Abdullah Mohammed Al-Shehri,2350-en,board_member,senior_executive,CFO,Senior Executives
Abdullah Mohammed Al-Tuwaijri,Abdullah Mohammed Al-Tuwaijri,9618-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Mohammed Al Harbi,Abdullah Mohammed Al Harbi,2180-en,board_member,senior_executive,CEO,Senior Executives
Abdullah Mohammed Al Harbi,Abdullah Mohammed Al Harbi,2180-en,board_member,board_of_directors,Executive,Board of Directors
Abdullah Mohammed Al Hawas,Abdullah Mohammed Al Hawas,7201-en,board_member,board_of_directors,Independent,Chairman
Abdullah Mohammed Alharbi,Abdullah Mohammed Al Harbi,2200-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Mohammed AlHomaidhi,Abdullah Mohammed AlHomaidhi,2120-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Mohammed AlSaif,Abdullah Mohammed AlSaif,9588-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Mohammed AlShammassi,Abdullah Mohammed AlShammassi,9602-en,board_member,board_of_directors,Independent,Chairman
Abdullah Mohammed Altahan,Abdullah Mohammed Altahan,6018-en,board_member,senior_executive,CFO,Senior Executives
Abdullah Mohammed Barjas AlNasser,Abdullah Mohammed Barjas AlNasser,9517-en,board_member,senior_executive,CEO,Senior Executives
Abdullah Mohammed Dhafer Al Kahtani,Abdullah Mohammed Dhafer Al Kahtani,9653-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Mohammed Suleiman AlHamdan,Abdullah Mohammed Suleiman AlHamdan,9627-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Muhammad Abdullah Al Shuraim,Abdullah Muhammad Abdullah Al Shuraim,9524-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Muhammad Abdullah Al Shuraim,Abdullah Muhammad Abdullah Al Shuraim,9555-en,board_member,board_of_directors,Executive,Board of Directors
Abdullah Muhammad Abdullah Al Shuraim,Abdullah Muhammad Abdullah Al Shuraim,9555-en,board_member,senior_executive,CEO,Senior Executives
Abdullah Muhammad Abdullah Albrahim,Abdullah Muhammad Abdullah Albrahim,9613-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Muhammad Abdullah AlHumaidhi,Abdullah Muhammad Abdullah AlHumaidhi,4145-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdullah Muhammad Yakoub Alfrih,Abdullah Muhammad Yakoub Alfrih,9576-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Mushabab Al Gahtani,Abdullah Mushabab Al Gahtani,2001-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Mutlaq Abdullah Al-Shai'i,Abdullah Mutlaq Abdullah Al-Shai'i,9510-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Nadeem Muhammad Elias,Abdullah Nadeem Muhammad Elias,9570-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Nasser Al-Dawood,Abdullah Nasser Al-Dawood,4262-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Nasser Aldawood,Abdullah Nasser Al-Dawood,1810-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Nasser Badr Al Badr,Abdullah Nasser Badr Al Badr,9616-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Nasser Ibrahim Al-Daajan,Abdullah Nasser Ibrahim Al-Daajan,9572-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdullah Nasser Mohammad Alturki,Abdullah Nasser Mohammad Alturki,9565-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Omar Abdullah Bawazir,Abdullah Omar Abdullah Bawazir,9559-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Omar Al Baiz,Abdullah Omar Al Baiz,3080-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Omar Bawazir,Abdullah Omar Abdullah Bawazir,4162-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Othman Almusa,Abdullah Othman Almusa,8310-en,board_member,board_of_directors,Independent,Chairman
Abdullah Radhwan Abdo Ali,Abdullah Radhwan Abdo Ali,9588-en,board_member,senior_executive,CEO,Senior Executives
Abdullah Rakan Ahmed AlTimyat,Abdullah Rakan Ahmed AlTimyat,1834-en,board_member,senior_executive,CEO,Senior Executives
Abdullah S.  Al Othaim,Abdullah S.  Al Othaim,4001-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah S.Al-Arifi,Abdullah S.Al-Arifi,2290-en,board_member,board_of_directors,Non - Executive,Board of Directors
ABDULLAH S.ALRAJHI,ABDULLAH S.ALRAJHI,1120-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Saad Alsalem,Abdullah Saad Alsalem,7203-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Saad AlShamrani,Abdullah Saad AlShamrani,1183-en,board_member,senior_executive,CFO,Senior Executives
Abdullah saad sanad alotaibi,Abdullah saad sanad alotaibi,4021-en,board_member,senior_executive,CEO,Senior Executives
ABDULLAH SADEEG A TOBEEGI,ABDULLAH SADEEG A TOBEEGI,9612-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Saeed Bin Saeed,Abdullah Saeed Bin Saeed,8160-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Saghaier Alshehri,Abdullah Saghaier Alshehri,9543-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Saghaier Mohammed Alhussaini,Abdullah Saghaier Mohammed Alhussaini,4002-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Saleh Abdullah Kamel,Abdullah Saleh Abdullah Kamel,4325-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Saleh AlSuwailem,Abdullah Saleh AlSuwailem,2223-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdullah Saleh Binladin,Abdullah Saleh Binladin,9597-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Saleh Hammad Al-Balawi,Abdullah Saleh Hammad Al-Balawi,4325-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Saud Abdul-Aziz Alrshoud,Abdullah Saud Abdul-Aziz Alrshoud,9562-en,board_member,board_of_directors,Deputy Chairman - Independent,Board of Directors
Abdullah Saud Mohammed Aldablan,Abdullah Saud Mohammed Aldablan,9606-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Sulaiman Abdulrahman Al Ngeer,Abdullah Sulaiman Abdulrahman Al Ngeer,1835-en,board_member,board_of_directors,Executive,Board of Directors
Abdullah Sulaiman Al Rajhi,Abdullah Sulaiman Al Rajhi,8230-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Sulaiman Khalifah Al-Khalifah,Abdullah Sulaiman Khalifah Al-Khalifah,9644-en,board_member,board_of_directors,Executive,Board of Directors
Abdullah sulaiman mohammed aljuraish,Abdullah sulaiman mohammed aljuraish,2320-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Suleiman Al-Rubaian,Abdullah Suleiman Al-Rubaian,4210-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Suleiman Al Yahyaa,Abdullah Suleiman Al Yahyaa,9618-en,board_member,senior_executive,CEO,Senior Executives
Abdullah Suliman Al Dabaan,Abdullah Suliman Al Dabaan,2360-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Suliman Al Sayyari,Abdullah Suliman Al Sayyari,2001-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Suliman AlAmro,Abdullah Suliman AlAmro,8010-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Suliman Alissa,Abdullah Suliman Alissa,9580-en,board_member,board_of_directors,Deputy Chairman - Independent,Board of Directors
Abdullah Turkey Al Sudairy,Abdullah Turkey Al Sudairy,1182-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Yahya Khalid Alslaim,Abdullah Yahya Khalid Alslaim,9558-en,board_member,board_of_directors,Independent,Board of Directors
Abdullatif Ahmad Al Othman,Abdullatif Ahmad Al Othman,1050-en,board_member,board_of_directors,Independent,Board of Directors
Abdullatif Ali Abdullatif Al-Saif,Abdullatif Ali Abdullatif Al-Saif,7202-en,board_member,board_of_directors,Independent,Board of Directors
Abdullatif Ali Abdullatif Al Fozan,Abdullatif Ali Abdullatif Al Fozan,4003-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullatif bin Khalifah Abdullatif Al-Mulhim,Abdullatif bin Khalifah Abdullatif Al-Mulhim,4021-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullatif Ibrahim almulhim,Abdullatif Ibrahim almulhim,9630-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdullatif Khalifa Almulhiem,Abdullatif Khalifa Almulhiem,8060-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullatif Omar Suliman Al-Abdullatif,Abdullatif Omar Suliman Al-Abdullatif,2340-en,board_member,senior_executive,CEO,Senior Executives
Abdullatif Omar Suliman Al-Abdullatif,Abdullatif Omar Suliman Al-Abdullatif,2340-en,board_member,board_of_directors,Executive,Board of Directors
Abdullaziz Homoud Ibrahim Al-Thiab,Abdullaziz Homoud Ibrahim Al-Thiab,4291-en,board_member,board_of_directors,Independent,Board of Directors
Abdullaziz Mohammed Ali Al Suwailem,Abdullaziz Mohammed Ali Al Suwailem,4291-en,board_member,board_of_directors,Independent,Board of Directors
Abdullelah Mohammed Altunisi,Abdullelah Mohammed Altunisi,3090-en,board_member,board_of_directors,Independent,Board of Directors
Abdullrahman Khalid Abdullah Al Zamil,Abdullrahman Khalid Abdullah Al Zamil,2382-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulmageed Abdurahman M. Alorinih,Abdulmageed Abdurahman M. Alorinih,9572-en,board_member,board_of_directors,Independent,Board of Directors
Abdulmageed Khalid Abdulrahman Almisfir,Abdulmageed Khalid Abdulrahman Almisfir,6013-en,board_member,board_of_directors,Independent,Board of Directors
Abdulmajed Abdulaziz Almashal,Abdulmajed Abdulaziz Almashal,1182-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulmajed Abdulmohsen Al Alshikh,Abdulmajed Abdulmohsen Al Alshikh,6050-en,board_member,board_of_directors,Independent,Board of Directors
Abdulmajed Abdulmohsen Ibrahim AlShaikh,Abdulmajed Abdulmohsen Ibrahim AlShaikh,9568-en,board_member,board_of_directors,Executive,Board of Directors
Abdulmajid  Mohammed Ibrahem Alrshoudi,Abdulmajid  Mohammed Ibrahem Alrshoudi,9564-en,board_member,board_of_directors,Independent,Board of Directors
